file,cpn,width,height,area,max_dim,min_dim,n_pages,scale_p1,scale_p2,scale_p3
RAD4-26.00X42.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-26.00X42.00-BK05-D2-30K,26.0,42.0,1092.0,42.0,26.0,2,10,10,
RAD4-26.00X42.00-BK05-DFX-KG-30K-SALES-AID-A.1.PDF,RAD4-26.00X42.00-BK05-DFX-KG-30K,26.0,42.0,1092.0,42.0,26.0,2,12,10,
RAD4-26.00X42.00-BR02-DFX-KG-30K-SALES-AID-A.1.PDF,RAD4-26.00X42.00-BR02-DFX-KG-30K,26.0,42.0,1092.0,42.0,26.0,2,12,10,
RAD4-26.00X46.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-26.00X46.00-CH04-D2-30K,26.0,46.0,1196.0,46.0,26.0,2,12,10,
RAD4-26.00X49.00-BK05-KG-30K-SALES-AID-A.1.PDF,RAD4-26.00X49.00-BK05-KG-30K,26.0,49.0,1274.0,49.0,26.0,2,14,10,
RAD4-26.00X60.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-26.00X60.00-BK05-30K,26.0,60.0,1560.0,60.0,26.0,2,12,10,
RAD4-26.50X55.75-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-26.50X55.75-BK05-D2-30K,26.5,55.75,1477.375,55.75,26.5,2,12,12,
RAD4-27.00X57.00-BK05-D2-WG3-30K-SALES-AID-A.1.PDF,RAD4-27.00X57.00-BK05-D2-WG3-30K,27.0,57.0,1539.0,57.0,27.0,2,14,12,
RAD4-27.00X72.25-BK05-KG-WRX-30K-SALES-AID-A.1.PDF,RAD4-27.00X72.25-BK05-KG-WRX-30K,27.0,72.25,1950.75,72.25,27.0,2,16,10,
RAD4-27.75X48.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-27.75X48.00-CH04-D2-30K,27.75,48.0,1332.0,48.0,27.75,2,12,10,
RAD4-28.00X41.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-28.00X41.00-CH04-D2-30K,28.0,41.0,1148.0,41.0,28.0,2,10,10,
RAD4-28.00X44.00-BZ47-27K-SALES-AID-A.1.PDF,RAD4-28.00X44.00-BZ47-27K,28.0,44.0,1232.0,44.0,28.0,2,10,10,
RAD4-28.00X54.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-28.00X54.00-BK05-D2-30K,28.0,54.0,1512.0,54.0,28.0,2,16,14,
RAD4-28.00X80.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-28.00X80.00-CH04-30K,28.0,80.0,2240.0,80.0,28.0,2,16,20,
RAD4-28.00X80.00-CH04-KG-30K-SALES-AID-A.1.PDF,RAD4-28.00X80.00-CH04-KG-30K,28.0,80.0,2240.0,80.0,28.0,2,20,20,
RAD4-28.25X57.00-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-28.25X57.00-BK05-D1-30K,28.25,57.0,1610.25,57.0,28.25,2,14,12,
RAD4-29.00X40.75-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-29.00X40.75-BK05-D2-30K,29.0,40.75,1181.75,40.75,29.0,2,12,10,
RAD4-29.00X50.50-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-29.00X50.50-BK05-D2-30K,29.0,50.5,1464.5,50.5,29.0,2,12,10,
RAD4-29.94X45.38-CH04-30K-SALES-AID-A.1.PDF,RAD4-29.94X45.38-CH04-30K,29.94,45.38,1358.6772,45.38,29.94,2,12,12,
RAD4-30.00X36.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X36.00-BR02-D2-30K,30.0,36.0,1080.0,36.0,30.0,2,10,10,
RAD4-30.00X40.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X40.00-BK05-D2-30K,30.0,40.0,1200.0,40.0,30.0,2,12,10,
RAD4-30.00X40.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X40.00-BR02-D2-30K,30.0,40.0,1200.0,40.0,30.0,2,12,10,
RAD4-30.00X40.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X40.00-CH04-D2-30K,30.0,40.0,1200.0,40.0,30.0,2,12,10,
RAD4-30.00X42.00-BK05-30K-SALES-AID-A.1.pdf,RAD4-30.00X42.00-BK05-30K,30.0,42.0,1260.0,42.0,30.0,2,12,10,
RAD4-30.00X42.00-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-30.00X42.00-BK05-D1-30K,30.0,42.0,1260.0,42.0,30.0,2,12,12,
RAD4-30.00X42.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X42.00-BK05-D2-30K,30.0,42.0,1260.0,42.0,30.0,2,12,10,
RAD4-30.00X42.00-BK05-D2-WG3-30K-SALES-AID-A.2.PDF,RAD4-30.00X42.00-BK05-D2-WG3-30K,30.0,42.0,1260.0,42.0,30.0,2,10,10,
RAD4-30.00X42.00-BK05-DFX-KG-30K-SALES-AID-A.1.PDF,RAD4-30.00X42.00-BK05-DFX-KG-30K,30.0,42.0,1260.0,42.0,30.0,2,12,10,
RAD4-30.00X42.00-BR02-30K-SALES-AID-A.1.pdf,RAD4-30.00X42.00-BR02-30K,30.0,42.0,1260.0,42.0,30.0,2,12,10,
RAD4-30.00X42.00-BR02-DFX-KG-30K-SALES-AID-A.1.PDF,RAD4-30.00X42.00-BR02-DFX-KG-30K,30.0,42.0,1260.0,42.0,30.0,2,12,10,
RAD4-30.00X44.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X44.00-BK05-D2-30K,30.0,44.0,1320.0,44.0,30.0,2,12,12,
RAD4-30.00X44.00-NK04-30K-SALES-AID-A.1.PDF,RAD4-30.00X44.00-NK04-30K,30.0,44.0,1320.0,44.0,30.0,2,10,10,
RAD4-30.00X45.00-BK05-KG-30K-SALES-AID-A.1.PDF,RAD4-30.00X45.00-BK05-KG-30K,30.0,45.0,1350.0,45.0,30.0,2,12,10,
RAD4-30.00X48.00-BK05-30K-SALES-AID-A.1.pdf,RAD4-30.00X48.00-BK05-30K,30.0,48.0,1440.0,48.0,30.0,2,12,12,
RAD4-30.00X48.00-BK05-D2-30K-SALES-AID-A.1.pdf,RAD4-30.00X48.00-BK05-D2-30K,30.0,48.0,1440.0,48.0,30.0,2,12,12,
RAD4-30.00X48.00-BR02-D2-30K-SALES-AID-A.1.pdf,RAD4-30.00X48.00-BR02-D2-30K,30.0,48.0,1440.0,48.0,30.0,2,12,12,
RAD4-30.00X48.00-BR02-KG-35K-SALES-AID-A.1.pdf,RAD4-30.00X48.00-BR02-KG-35K,30.0,48.0,1440.0,48.0,30.0,2,12,12,
RAD4-30.00X50.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X50.00-CH04-D2-30K,30.0,50.0,1500.0,50.0,30.0,2,12,12,
RAD4-30.00X52.00-BK05-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-30.00X52.00-BK05-D1-DF-30K,30.0,52.0,1560.0,52.0,30.0,2,12,10,
RAD4-30.00X52.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X52.00-BR02-D2-30K,30.0,52.0,1560.0,52.0,30.0,2,14,10,
RAD4-30.00X52.00-CH04-D1-DF-30K-SALES-AID-A.1.pdf,RAD4-30.00X52.00-CH04-D1-DF-30K,30.0,52.0,1560.0,52.0,30.0,2,12,10,
RAD4-30.00X53.00-CH04-30K-SALES-AID-A.1.pdf,RAD4-30.00X53.00-CH04-30K,30.0,53.0,1590.0,53.0,30.0,2,12,12,
RAD4-30.00X54.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X54.00-BK05-D2-30K,30.0,54.0,1620.0,54.0,30.0,2,12,12,
RAD4-30.00X54.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X54.00-BR02-D2-30K,30.0,54.0,1620.0,54.0,30.0,2,14,12,
RAD4-30.00X55.00-BK05-KG-30K-SALES-AID-A.1.PDF,RAD4-30.00X55.00-BK05-KG-30K,30.0,55.0,1650.0,55.0,30.0,2,16,14,
RAD4-30.00X60.00-BK05-30K-SALES-AID-A.1.pdf,RAD4-30.00X60.00-BK05-30K,30.0,60.0,1800.0,60.0,30.0,2,14,14,
RAD4-30.00X72.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X72.00-BK05-D2-30K,30.0,72.0,2160.0,72.0,30.0,2,17,16,
RAD4-30.00X78.00-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-30.00X78.00-CH04-D2-30K,30.0,78.0,2340.0,78.0,30.0,2,18,16,
RAD4-30.00X83.00-BZ24-30K-SALES-AID-A.1.PDF,RAD4-30.00X83.00-BZ24-30K,30.0,83.0,2490.0,83.0,30.0,2,18,18,
RAD4-30.00X84.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-30.00X84.00-BK05-30K,30.0,84.0,2520.0,84.0,30.0,2,20,20,
RAD4-30.00X84.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-30.00X84.00-CH04-30K,30.0,84.0,2520.0,84.0,30.0,2,20,20,
RAD4-31.00X46.75-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-31.00X46.75-BK05-D2-30K,31.0,46.75,1449.25,46.75,31.0,2,12,10,
RAD4-31.00X47.75-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-31.00X47.75-BR02-D2-30K,31.0,47.75,1480.25,47.75,31.0,2,14,10,
RAD4-31.00X54.00-BK05-30K-SALES-AID-A.1.pdf,RAD4-31.00X54.00-BK05-30K,31.0,54.0,1674.0,54.0,31.0,2,12,12,
RAD4-31.50X101.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-31.50X101.00-BK05-30K,31.5,101.0,3181.5,101.0,31.5,2,24,24,
RAD4-32.00X42.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-32.00X42.00-BK05-D2-30K,32.0,42.0,1344.0,42.0,32.0,2,12,10,
RAD4-32.00X42.00-BR02-DFX-KG-30K-SALES-AID-A.1.PDF,RAD4-32.00X42.00-BR02-DFX-KG-30K,32.0,42.0,1344.0,42.0,32.0,2,12,12,
RAD4-32.00X43.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-32.00X43.00-BK05-30K,32.0,43.0,1376.0,43.0,32.0,2,12,12,
RAD4-32.00X43.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-32.00X43.00-CH04-30K,32.0,43.0,1376.0,43.0,32.0,2,12,12,
RAD4-32.00X48.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-32.00X48.00-BK05-D2-30K,32.0,48.0,1536.0,48.0,32.0,2,12,12,
RAD4-32.00X61.00-BZ24-30K-SALES-AID-A.1.pdf,RAD4-32.00X61.00-BZ24-30K,32.0,61.0,1952.0,61.0,32.0,2,16,16,
RAD4-32.69X21.69-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-32.69X21.69-BK05-D1-30K,32.69,21.69,709.0461,32.69,21.69,2,8,8,
RAD4-32.69X46.94-BK05-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-32.69X46.94-BK05-D1-DF-30K,32.69,46.94,1534.4686,46.94,32.69,2,12,10,
RAD4-32.69X46.94-BK05-D1-DFX-30K-SALES-AID-A.2.PDF,RAD4-32.69X46.94-BK05-D1-DFX-30K,32.69,46.94,1534.4686,46.94,32.69,2,12,10,
RAD4-32.75X56.50-BK05-D2-30K-SALES-AID-A.1.pdf,RAD4-32.75X56.50-BK05-D2-30K,32.75,56.5,1850.375,56.5,32.75,2,14,12,
RAD4-32.75X56.50-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-32.75X56.50-CH04-D2-30K,32.75,56.5,1850.375,56.5,32.75,2,14,12,
RAD4-33.00X40.00-CH04-D2-30K-SALES-AID-A.1.pdf,RAD4-33.00X40.00-CH04-D2-30K,33.0,40.0,1320.0,40.0,33.0,2,12,12,
RAD4-33.00X44.50-CH04-D2-30K-SALES-AID-A.1.pdf,RAD4-33.00X44.50-CH04-D2-30K,33.0,44.5,1468.5,44.5,33.0,2,12,12,
RAD4-34.00X39.00-BZ24-WG3-30K-SALES-AID-A.1.PDF,RAD4-34.00X39.00-BZ24-WG3-30K,34.0,39.0,1326.0,39.0,34.0,2,12,10,
RAD4-34.00X39.00-BZ47-NO-WG3-27K-SALES-AID-A.1.PDF,RAD4-34.00X39.00-BZ47-NO-WG3-27K,34.0,39.0,1326.0,39.0,34.0,2,12,10,
RAD4-34.00X39.00-BZ47-NO-WG3-30K-SALES-AID-A.1.PDF,RAD4-34.00X39.00-BZ47-NO-WG3-30K,34.0,39.0,1326.0,39.0,34.0,2,12,10,
RAD4-34.00X54.00-BR02-D1-DF-30K-SALES-AID-A.1.pdf,RAD4-34.00X54.00-BR02-D1-DF-30K,34.0,54.0,1836.0,54.0,34.0,2,14,12,
RAD4-34.00X54.00-BR02-D1-DFX-30K-SALES-AID-A.1.PDF,RAD4-34.00X54.00-BR02-D1-DFX-30K,34.0,54.0,1836.0,54.0,34.0,2,14,12,
RAD4-34.50X101.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-34.50X101.00-BK05-30K,34.5,101.0,3484.5,101.0,34.5,2,24,24,
RAD4-34.75X38.75-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-34.75X38.75-BK05-D2-30K,34.75,38.75,1346.5625,38.75,34.75,2,10,10,
RAD4-34.75X38.75-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-34.75X38.75-CH04-D2-30K,34.75,38.75,1346.5625,38.75,34.75,2,10,10,
RAD4-34.75X46.75-CH04-30K-SALES-AID-A.1.pdf,RAD4-34.75X46.75-CH04-30K,34.75,46.75,1624.5625,46.75,34.75,2,12,12,
RAD4-34.75X54.50-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-34.75X54.50-BK05-D2-30K,34.75,54.5,1893.875,54.5,34.75,2,14,14,
RAD4-34.75X56.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-34.75X56.00-CH04-30K,34.75,56.0,1946.0,56.0,34.75,2,12,12,
RAD4-34.75X56.00-CH04-DF-30K-SALES-AID-A.1.pdf,RAD4-34.75X56.00-CH04-DF-30K,34.75,56.0,1946.0,56.0,34.75,2,12,12,
RAD4-36.00X36.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-BK05-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-BK05-D2-DF-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-BK05-D2-DF-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-BK05-KG-WG3-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-BK05-KG-WG3-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-BR02-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-BR02-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-CH04-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-CH04-D1-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-CH04-D1-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X36.00-CH04-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-36.00X36.00-CH04-D1-DF-30K,36.0,36.0,1296.0,36.0,36.0,2,10,10,
RAD4-36.00X40.00-NK04-30K-SALES-AID-A.1.PDF,RAD4-36.00X40.00-NK04-30K,36.0,40.0,1440.0,40.0,36.0,2,12,10,
RAD4-36.00X40.00-NK04-CC2-NO-30K-SALES-AID-A.1.PDF,RAD4-36.00X40.00-NK04-CC2-NO-30K,36.0,40.0,1440.0,40.0,36.0,2,12,10,
RAD4-36.00X40.00-NK04-NO-30K-SALES-AID-A.1.PDF,RAD4-36.00X40.00-NK04-NO-30K,36.0,40.0,1440.0,40.0,36.0,2,12,10,
