file,cpn,revision,cpn_model,cpn_custom_prefix,cpn_size,cpn_finish_code,cpn_finish_name,cpn_cct_code,cpn_cct_K,cpn_is_custom,cpn_is_frx,cpn_options,cpn_option_meanings,frame_finish,total_wattage_W,voltage_V,current_A,led_type,led_length_in,led_wattage_W,l70_lifespan_hrs,cct_K,lumens_total,lumens_per_ft,cri,weight_lbs,has_defogger,defogger_voltage,defogger_wattage,has_clock,clock_watts,has_keen,has_277v,has_dimmer_kd,powerbox,mirror_assembly,powerbox_assembly,cpn_in_pdf,cpn_from_filename
RAD4-60.00X48.00-CH04-D1-30K-SALES-AID-A.1.PDF,RAD4-60.00X48.00-CH04-D1-30K,A.1,RAD4,,60.00X48.00,CH04,CHROME,30K,3000K,False,False,D1,Defogger D1,ETCHED CHROME,,120 OR 277,0.47 OR 0.20,REPLACEABLE FLEX STRIP,213,65,"140,000","3,000","5,361",302,90+,81,False,,,False,,False,True,False,81330-D1-96W,,,RAD4-60.00X48.00-CH04-D1-30K,RAD4-60.00X48.00-CH04-D1-30K
RAD4-60.00X54.00-BK05-30K-SALES-AID-A.1.PDF,RAD4-60.00X54.00-BK05-30K,A.1,RAD4,,60.00X54.00,BK05,MATTE BLACK,30K,3000K,False,False,,,MATTE BLACK,,120 OR 277,0.50 OR 0.22,REPLACEABLE FLEX STRIP,227,69,"140,000","3,000",5694,302,90+,89,False,,,False,,False,True,False,81330-96W,RAD4-60.00X54.00-BK05-30K-M,81330-96W,RAD4-60.00X54.00-BK05-30K,RAD4-60.00X54.00-BK05-30K
RAD4-60.00X54.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-60.00X54.00-CH04-30K,A.1,RAD4,,60.00X54.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.50 OR 0.22,REPLACEABLE FLEX STRIP,227,69,"140,000","3,000",5694,302,90+,89,False,,,False,,False,True,False,81330-96W,RAD4-60.00X54.00-CH04-30K-M,81330-96W,RAD4-60.00X54.00-CH04-30K,RAD4-60.00X54.00-CH04-30K
RAD4-60.00X56.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-60.00X56.00-CH04-30K,A.1,RAD4,,60.00X56.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.51 OR 0.22,REPLACEABLE FLEX STRIP,231,71,"140,000","3,000","5,793",302,90+,92,False,,,False,,False,True,False,81330-96W,RAD4-60.00X56.00-CH04-30K-M,81330-96W,RAD4-60.00X56.00-CH04-30K,RAD4-60.00X56.00-CH04-30K
RAD4-60.00X66.50-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-60.00X66.50-BK05-D2-30K,A.1,RAD4,,60.00X66.50,BK05,MATTE BLACK,30K,3000K,False,False,D2,Defogger D2,MATTE BLACK,,120 - 277,0.59 - 0.26,REPLACEABLE FLEX STRIP,250,77,"140,000","3,000",6288,302,90+,109,False,,,False,,False,True,False,81330-D2-96W,,,RAD4-60.00X66.50-BK05-D2-30K,RAD4-60.00X66.50-BK05-D2-30K
RAD4-60.00X72.00-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-60.00X72.00-BK05-D1-30K,A.1,RAD4,,60.00X72.00,BK05,MATTE BLACK,30K,3000K,False,False,D1,Defogger D1,MATTE BLACK,,120 - 277,0.60 - 0.26,REPLACEABLE FLEX STRIP,262,80,"140,000","3,000",6589,302,90+,117,False,,,False,,False,True,False,81330-D1-96W,,,RAD4-60.00X72.00-BK05-D1-30K,RAD4-60.00X72.00-BK05-D1-30K
RAD4-60.00X72.00-CH04-CK2-D1-30K-SALES-AID-A.1.PDF,RAD4-60.00X72.00-CH04-CK2-D1-30K,A.1,RAD4,,60.00X72.00,CH04,CHROME,30K,3000K,False,False,CK2;D1,Clock CK2;Defogger D1,ETCHED CHROME SEAMLESS CLOCK,,120 - 240,0.62 - 0.31,REPLACEABLE FLEX STRIP,262,80,"140,000","3,000",6588,302,90+,117,False,,,True,,False,False,False,81330-CK2-D1-96W,,,RAD4-60.00X72.00-CH04-CK2-D1-30K,RAD4-60.00X72.00-CH04-CK2-D1-30K
RAD4-60.50X42.00-BK05-D2-WG3-30K-SALES-AID-A.1.PDF,RAD4-60.50X42.00-BK05-D2-WG3-30K,A.1,RAD4,,60.50X42.00,BK05,MATTE BLACK,30K,3000K,False,False,D2;WG3,Defogger D2;Wall-Grommet/Power Routing (WG3),MATTE BLACK,,120 - 277,0.99 - 0.43,REPLACEABLE FLEX STRIP,203,62,"140,000","3,000","5,099",302,90+,81,False,,,False,,False,True,False,81330-D2-192W,,,RAD4-60.50X42.00-BK05-D2-WG3-30K,RAD4-60.50X42.00-BK05-D2-WG3-30K
RAD4-61.00X36.00-CH04-CK2-D1-30K-SALES-AID-A.1.PDF,RAD4-61.00X36.00-CH04-CK2-D1-30K,A.1,RAD4,,61.00X36.00,CH04,CHROME,30K,3000K,False,False,CK2;D1,Clock CK2;Defogger D1,ETCHED CHROME,,120 - 240,0.46 - 0.23,REPLACEABLE FLEX STRIP,191,59,"140,000","3,000",4805,302,90+,65,False,,,True,,False,False,False,81330-CK2-D1-96W,,,RAD4-61.00X36.00-CH04-CK2-D1-30K,RAD4-61.00X36.00-CH04-CK2-D1-30K
RAD4-61.00X42.00-BK05-CK2-30K-SALES-AID-A.1.PDF,RAD4-61.00X42.00-BK05-CK2-30K,A.1,RAD4,,61.00X42.00,BK05,MATTE BLACK,30K,3000K,False,False,CK2,Clock CK2,MATTE BLACK,,120 OR 277,0.45 OR 0.19,REPLACEABLE FLEX STRIP,203,62,"140,000","3,000",5105,302,90+,73,False,,,True,,False,True,False,81330-CK2-96W,,,RAD4-61.00X42.00-BK05-CK2-30K,RAD4-61.00X42.00-BK05-CK2-30K
